,model,best_score,best_params,test_acc,elapsed_time_run
0,knn,0.8580662020905923,{},0.8530559167750326,3.328866481781006
1,GaussianNB,0.9006081723154894,{},0.9323797139141743,1.1305127143859863
2,svm,0.8369601942772675,{},0.8478543563068921,17.395654916763306
3,DecisionTreeClassifier,0.8765806145074437,{},0.8946684005201561,4.95124626159668
4,random_forest,0.9850575440819342,{},0.9947984395318595,55.2237274646759
5,AdaBoost,0.05391194171681977,{},0.06762028608582575,39.878440380096436
6,LinearDiscriminantAnalysis,0.6885339457290677,{},0.6501950585175552,0.9539189338684082
7,MLPClassifier,0.8161688311688312,{},0.8309492847854356,237.7496998310089
8,logistic_regression,0.30886495618202936,{},0.31729518855656696,12.877156972885132
